Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
77,tt0036342,2019-09-04,2019-09-04,,Shadow of a Doubt,https://www.imdb.com/title/tt0036342/,movie,7.9,108,1943,Thriller,55392,1943-01-12,Alfred Hitchcock
78,tt0034583,2019-09-04,2019-09-04,,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",490171,1942-11-26,Michael Curtiz
79,tt0033467,2019-09-04,2019-09-04,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",373784,1941-05-01,Orson Welles
80,tt0032551,2019-09-04,2019-09-04,,The Grapes of Wrath,https://www.imdb.com/title/tt0032551/,movie,8.0,129,1940,"Drama, History",82553,1940-01-24,John Ford
81,tt0031381,2019-09-04,2019-09-04,,Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.1,238,1939,"Drama, History, Romance, War",271118,1939-12-15,"Sam Wood, George Cukor, Victor Fleming"
82,tt0029843,2019-09-04,2019-09-04,,The Adventures of Robin Hood,https://www.imdb.com/title/tt0029843/,movie,7.9,102,1938,"Action, Adventure, Romance",44852,1938-05-12,"Michael Curtiz, William Keighley"
83,tt0029583,2019-09-04,2019-09-04,,Snow White and the Seven Dwarfs,https://www.imdb.com/title/tt0029583/,movie,7.6,83,1937,"Animation, Family, Fantasy, Musical, Romance",169811,1937-12-21,"William Cottrell, David Hand, Perce Pearce, Ben Sharpsteen, Wilfred Jackson, Larry Morey"
84,tt0027977,2019-09-04,2019-09-04,,Modern Times,https://www.imdb.com/title/tt0027977/,movie,8.5,87,1936,"Comedy, Drama, Family, Romance",199492,1936-02-05,Charles Chaplin
85,tt0026138,2019-09-04,2019-09-04,,Bride of Frankenstein,https://www.imdb.com/title/tt0026138/,movie,7.8,75,1935,"Drama, Horror, Sci-Fi",40538,1935-04-19,James Whale
86,tt0025316,2019-09-04,2019-09-04,,It Happened One Night,https://www.imdb.com/title/tt0025316/,movie,8.1,105,1934,"Comedy, Romance",87187,1934-02-22,Frank Capra
87,tt0024216,2019-09-04,2019-09-04,,King Kong,https://www.imdb.com/title/tt0024216/,movie,7.9,100,1933,"Adventure, Horror, Sci-Fi",75330,1933-03-02,"Ernest B. Schoedsack, Merian C. Cooper"
88,tt0023427,2019-09-04,2019-09-04,,Scarface,https://www.imdb.com/title/tt0023427/,movie,7.8,93,1932,"Action, Crime, Drama, Film-Noir, Thriller",23622,1932-03-31,"Richard Rosson, Howard Hawks"
89,tt0022100,2019-09-04,2019-09-04,,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,movie,8.3,117,1931,"Crime, Mystery, Thriller",132801,1931-05-11,Fritz Lang
90,tt0020629,2019-09-04,2019-09-04,,All Quiet on the Western Front,https://www.imdb.com/title/tt0020629/,movie,8.0,136,1930,"Drama, War",54531,1930-04-21,Lewis Milestone
91,tt0019760,2019-09-04,2019-09-04,,Chelovek s kino-apparatom,https://www.imdb.com/title/tt0019760/,movie,8.4,68,1929,"Documentary, Music",20497,1929-01-08,Dziga Vertov
92,tt0019254,2019-09-04,2019-09-04,,La passion de Jeanne d'Arc,https://www.imdb.com/title/tt0019254/,movie,8.1,110,1928,"Biography, Drama, History",42576,1928-04-21,Carl Theodor Dreyer
93,tt0017136,2019-09-04,2019-09-04,,Metropolis,https://www.imdb.com/title/tt0017136/,movie,8.3,153,1927,"Drama, Sci-Fi",149296,1927-01-10,Fritz Lang
94,tt0017925,2019-09-04,2019-09-04,,The General,https://www.imdb.com/title/tt0017925/,movie,8.1,67,1926,"Action, Adventure, Comedy, Drama, War, Western",74234,1926-12-31,"Buster Keaton, Clyde Bruckman"
95,tt0015648,2019-09-04,2019-09-04,,Bronenosets Potemkin,https://www.imdb.com/title/tt0015648/,movie,8.0,75,1925,"Drama, History, Thriller",49461,1925-12-24,Sergei M. Eisenstein
96,tt0015881,2019-09-04,2019-09-04,,Greed,https://www.imdb.com/title/tt0015881/,movie,8.1,140,1924,"Drama, Thriller, Western",8494,1924-12-04,Erich von Stroheim
97,tt0014429,2019-09-04,2019-09-04,,Safety Last!,https://www.imdb.com/title/tt0014429/,movie,8.1,74,1923,"Action, Comedy, Thriller",16873,1923-04-01,"Fred C. Newmeyer, Sam Taylor"
98,tt0013442,2019-09-04,2019-09-04,,"Nosferatu, eine Symphonie des Grauens",https://www.imdb.com/title/tt0013442/,movie,7.9,94,1922,"Fantasy, Horror",83291,1922-02-17,F.W. Murnau
99,tt0012349,2019-09-04,2019-09-04,,The Kid,https://www.imdb.com/title/tt0012349/,movie,8.3,68,1921,"Comedy, Drama, Family",102487,1921-01-16,Charles Chaplin
100,tt0010323,2019-09-04,2019-09-04,,Das Cabinet des Dr. Caligari,https://www.imdb.com/title/tt0010323/,movie,8.1,76,1920,"Fantasy, Horror, Mystery, Thriller",51985,1920-02-26,Robert Wiene
